id,fecha_documento,periodo,detalle,importe_total,tipo_egreso,medio_pago,estado_pago,origen,estado_control,rubro_id,proveedor_id,tipo_documento,numero_documento,moneda,es_intercompany,observaciones,llave_dedup
70ecd356-54d4-408e-a23f-1bd3d023bd11,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,00973821-e775-4164-8183-22f645d4aad6,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|AI BLOCK TECHNOLOGIES SRL|GASTO SIN COMPROBANTE|65000.00
32056d8c-196a-4963-857e-7351a8463d7d,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,5d1b320a-cfc6-491b-bccf-cb4ee397b256,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|AKAI SA|GASTO SIN COMPROBANTE|65.000
6494ea9f-0e96-4f50-9c7b-5636a7dfcfa4,2026-01-01,2026-01,Poliza vida colectivo,7713.0,,Débito Automático,Estimado,matriz_historica,revisar,3afe9fbe-11f8-43b3-b28e-a6ae0aff1093,2d1f2a4e-e4f8-4327-9230-7ee2cc10e352,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Gasto operativo mensual.",20260101|ARGENGRAFT SRL|GASTO SIN COMPROBANTE|7.713
42063154-d79f-4d02-9733-d4c20f01bc49,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,2d1f2a4e-e4f8-4327-9230-7ee2cc10e352,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|ARGENGRAFT SRL|GASTO SIN COMPROBANTE|65.000
c7d48623-adbe-4e5d-be97-965dabab6b61,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,ae87331f-e6ad-4dc6-ac13-8affd74e6018,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|CAPITAL ASSISTANCE SA|GASTO SIN COMPROBANTE|65.000
65df1c1b-b3f4-412e-9470-f8923085552a,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,67fac871-99ff-4c10-8001-fe2a398c1763,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|ENVECO SRL|GASTO SIN COMPROBANTE|65.000
ea5bbe3f-b58d-4d71-aaef-41e7fe099c7d,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,8160b26b-70a5-45df-b09f-98f2365f7b61,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|FIBER UP SA|GASTO SIN COMPROBANTE|65.000
403a2eb0-68fd-4c6d-bb18-612e0a2b7837,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,d3df491b-f0f2-4b79-a73f-36fda5f2bba7,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|LA EXPRESION SRL|GASTO SIN COMPROBANTE|65.000
8b5fe28b-359c-495f-9425-13f22822686f,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,d8bc0e6a-dee3-49cc-ab4a-6841af77c205,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|LSJ SRL|GASTO SIN COMPROBANTE|65.000
effaa7b2-ff4d-4ee6-bb8a-e129f25f128d,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,a3831295-0538-40ff-b912-e8cc361d16fc,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|MORA CERO SA|GASTO SIN COMPROBANTE|65.000
8e76c269-d462-4eab-afec-3a361622e401,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,0a184561-fd10-43ac-9fab-2d691a0ab10a,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|PERMAWE SRL|GASTO SIN COMPROBANTE|65.000
bc89a237-aa91-4e51-a6c5-a758eef71fa9,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,ca6aa897-f6de-4ef0-aaaf-03b48d6707b4,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|SINAPSIS CONNECT SRL|GASTO SIN COMPROBANTE|65.000
7e79a96c-506e-4c76-a463-9f2189c34d94,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,169b39f8-5b5d-4ca9-8480-43acc4095b49,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|SINDEL GROUP SRL|GASTO SIN COMPROBANTE|65.000
c03203a7-37ab-4222-bb57-a931858c5369,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,412f3f61-3312-4bb0-ae19-e3b789145d6c,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|TOOLS SOLUTION SA|GASTO SIN COMPROBANTE|65.000
9798531e-61fd-428b-8b61-e60b16f1f4cd,2026-01-01,2026-01,Gastos bancarios 01/2026,65000.0,,Débito Automático,Estimado,matriz_historica,revisar,c79a1013-b175-4b93-ba18-e69908201cee,d5d2b619-687e-46f2-b516-f2b3ac4d0301,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Requiere revisión manual para gestión.",20260101|ZELED SA|GASTO SIN COMPROBANTE|65.000
0e55a0b9-4554-4948-8b74-e4447724b396,2026-01-02,2026-01,Sueldo 2da Quincena 12/2025 (Recibo) - Cordoba Mauro,437035.46,,Transferencia Bancaria,Estimado,matriz_historica,revisar,3afe9fbe-11f8-43b3-b28e-a6ae0aff1093,00973821-e775-4164-8183-22f645d4aad6,Gasto sin comprobante,,ARS,f,"Falta: empresa, subrubro, centro_costo, tipo_egreso | Gasto operativo mensual.",20260102|AI BLOCK TECHNOLOGIES SRL|GASTO SIN COMPROBANTE|437.035
